"","x","y","celltypes"
"cell72...72",1678.88070037588,1818.06761724874,"D"
"cell73...73",693.366978317499,876.668586395681,"D"
"cell74...74",667.549861595035,1916.194466874,"D"
"cell75...75",952.702490147203,1249.54203469679,"D"
"cell76...76",1784.39667169005,865.807396825403,"D"
"cell77...77",1728.67894126102,943.423035554588,"D"
"cell78...78",779.979086946696,1090.34291980788,"D"
"cell79...79",1554.64139766991,1145.56864695624,"D"
"cell80...80",1921.23599443585,1071.44265668467,"D"
"cell81...81",869.318969547749,1564.07288229093,"D"
"cell82...82",1425.02935742959,553.021657280624,"C"
"cell83...83",799.988737795502,208.863574080169,"D"
"cell84...84",650.704303756356,520.034458022565,"A"
"cell85...85",1514.17429605499,1953.76991247758,"D"
"cell86...86",405.384510289878,418.065510224551,"A"
"cell87...87",1422.24244493991,725.755922496319,"A"
"cell88...88",243.383842054754,1356.41259327531,"A"
"cell89...89",490.977027919143,1311.60823209211,"A"
"cell90...90",286.60875884816,19.5479746907949,"D"
"cell91...91",479.25883019343,1967.20781177282,"D"
"cell92...92",117.868754547089,1690.20353676751,"D"
"cell93...93",1284.57651706412,942.390161100775,"D"
"cell94...94",1752.53842538223,979.890843853354,"D"
"cell95...95",1557.82935488969,546.922747511417,"B"
"cell96...96",1594.61765177548,1386.12698204815,"A"
"cell97...97",910.54890723899,1959.91526870057,"D"
"cell98...98",820.168164093047,863.102224655449,"D"
"cell99...99",1621.74048554152,321.292622480541,"A"
"cell100...100",1209.86658055335,1851.90082062036,"D"
"cell101...101",1309.44785615429,1107.63530060649,"D"
"cell102...102",706.394543871284,34.4261894933879,"D"
"cell103...103",540.520291775465,647.237522993237,"A"
"cell104...104",1985.3681223467,1563.21833888069,"D"
"cell105...105",1266.98652887717,961.380593944341,"D"
"cell106...106",426.416270434856,568.466777913272,"A"
"cell107...107",258.74469615519,847.511953674257,"D"
"cell108...108",956.236068625003,303.136525675654,"D"
"cell109...109",1848.14893966541,307.323819957674,"D"
"cell110...110",1197.52193428576,1037.80421568081,"D"
"cell111...111",1952.34138984233,149.633627384901,"D"
"cell112...112",1463.58502376825,1745.91087456793,"A"
"cell113...113",713.453824166209,1553.74224763364,"A"
"cell114...114",862.947381101549,3.71423363685608,"D"
"cell115...115",296.423121355474,1514.49921075255,"A"
"cell116...116",26.1551509611309,1015.73943672702,"D"
"cell117...117",1431.13213218749,293.550175148994,"A"
"cell118...118",206.368471495807,1291.45947331563,"D"
"cell119...119",892.568697221577,137.881257105619,"D"
"cell120...120",1280.20209027454,1914.34960439801,"D"
"cell121...121",1983.67724008858,978.478378616273,"D"
"cell122...122",991.187155712396,227.551709394902,"D"
"cell123...123",968.699048738927,1654.07091658562,"D"
"cell124...124",346.884669736028,101.816805545241,"D"
"cell125...125",1509.64188901708,529.355911072344,"C"
"cell126...126",907.790978439152,1182.0466639474,"D"
"cell127...127",1022.33956754208,528.170604258776,"D"
"cell128...128",415.090226568282,1390.17968159169,"A"
"cell129...129",457.316285464913,305.923666805029,"A"
"cell130...130",1191.42399262637,1340.40299989283,"D"
"cell131...131",1149.74439656362,1569.92430146784,"D"
"cell132...132",154.128760565072,37.2616499662399,"D"
"cell133...133",71.081159170717,1770.06107242778,"D"
"cell134...134",1285.59098439291,1251.92826986313,"D"
"cell135...135",1857.23039926961,1789.63880334049,"D"
"cell136...136",1196.18484470993,21.6650879010558,"D"
"cell137...137",1121.80149601772,487.66476335004,"D"
"cell138...138",1052.05544782802,428.199611604214,"D"
"cell139...139",1970.19044775516,591.855830512941,"D"
"cell140...140",1015.28364466503,812.714193481952,"D"
"cell141...141",1365.57615734637,1070.89946698397,"D"
"cell142...142",1203.08243529871,1718.35418324918,"D"
"cell143...143",477.737355511636,1696.75217894837,"A"
"cell144...144",516.331853345037,11.6329411976039,"D"
"cell145...145",1458.61924672499,1397.74373266846,"A"
"cell146...146",905.141662806273,1097.52984624356,"D"
"cell147...147",350.253536831588,604.109979700297,"A"
"cell148...148",1493.39653924108,180.427407380193,"D"
"cell149...149",209.975280798972,1480.95466010273,"A"
"cell150...150",1729.08989805728,1001.94094283506,"D"
"cell151...151",1229.28994335234,1254.68962965533,"D"
"cell152...152",1114.31907769293,1669.89279445261,"D"
"cell153...153",657.554638106376,1399.28160235286,"A"
"cell154...154",906.262890901417,1716.52298420668,"D"
"cell155...155",1000.88194524869,134.809486567974,"D"
"cell156...156",361.732722260058,1244.74416812882,"A"
"cell157...157",1059.26120560616,952.428489457816,"D"
"cell158...158",150.551491416991,88.7265810742974,"D"
"cell159...159",555.511865299195,1139.33663675562,"D"
"cell160...160",425.399038475007,1668.51775767282,"A"
"cell161...161",569.580961950123,341.508728452027,"A"
"cell162...162",1790.18820589408,1657.30642015114,"D"
"cell163...163",892.470646649599,1357.43336938322,"D"
"cell164...164",1559.96977956966,1054.65890327469,"D"
"cell165...165",1761.23806973919,1637.64771446586,"A"
"cell166...166",826.248419005424,1909.57719320431,"D"
"cell167...167",127.616961020976,420.129055622965,"D"
"cell168...168",670.974983368069,81.2099492177367,"D"
"cell169...169",1447.45189324021,1169.19666761532,"D"
"cell170...170",675.230666995049,223.545192740858,"D"
"cell171...171",1260.82824496552,262.56345352158,"D"
"cell172...172",1681.22910801321,1432.79000325128,"A"
"cell173...173",1712.26332942024,1259.19520389289,"D"
"cell174...174",782.718562055379,1860.18531722948,"D"
"cell175...175",760.987771209329,937.98945704475,"D"
"cell176...176",1790.89085198939,611.466798000038,"D"
"cell177...177",1288.63152582198,1644.01086000726,"A"
"cell178...178",1482.15729743242,1095.13547737151,"D"
"cell179...179",1210.60689305887,453.584300354123,"A"
"cell180...180",1806.16322299466,217.960960697383,"D"
"cell181...181",587.460310198367,1606.98096919805,"A"
"cell182...182",382.520219776779,1704.3002420105,"A"
"cell183...183",1772.90188660845,680.4333999753,"D"
"cell184...184",1006.67897146195,252.549284137785,"D"
"cell185...185",1754.11508604884,975.395986810327,"D"
"cell186...186",378.387244883925,1714.14188621566,"A"
"cell187...187",1516.20610477403,1275.84366966039,"A"
"cell188...188",1448.99778533727,649.790573399514,"A"
"cell189...189",1887.44963658974,1817.40741059184,"D"
"cell190...190",1095.29317403212,352.515022270381,"D"
"cell191...191",1423.48773544654,691.145664080977,"A"
"cell192...192",777.810199651867,1316.12933939323,"D"
"cell193...193",201.74625236541,1524.30558996275,"A"
"cell194...194",1854.60417717695,546.245829202235,"D"
"cell195...195",566.465000621974,132.349651772529,"D"
"cell196...196",1181.14631762728,724.664756562561,"D"
"cell197...197",220.721209887415,323.660380207002,"D"
"cell198...198",1681.01406423375,95.7310968078673,"D"
"cell199...199",635.927368886769,982.624768745154,"D"
"cell200...200",1565.7026739791,684.217769652605,"A"
"cell201...201",535.016414709389,1316.95604883134,"A"
"cell202...202",437.290569767356,83.298864774406,"D"
"cell203...203",1033.59367279336,1329.93477676064,"D"
"cell204...204",537.901184055954,1878.57152847573,"D"
"cell205...205",362.336654681712,270.824485924095,"A"
"cell206...206",1037.15227497742,1766.67659217492,"D"
"cell207...207",1125.56587159634,739.625228568912,"D"
"cell208...208",258.313708938658,1151.1498382315,"D"
"cell209...209",512.73520803079,1182.06953816116,"D"
"cell210...210",1435.87055196986,1178.93326235935,"D"
"cell211...211",1922.81987285241,241.537112277001,"D"
"cell212...212",200.281693134457,1556.76527088508,"D"
"cell213...213",1526.44537901506,1445.72714436799,"C"
"cell214...214",1895.93270933256,1897.7435878478,"D"
"cell215...215",1637.26937677711,1117.08583822474,"D"
"cell216...216",616.584661416709,1786.95388743654,"D"
"cell217...217",1299.15892099962,1272.12317893282,"D"
"cell218...218",1906.71090222895,37.6242063939571,"D"
"cell219...219",1907.46530005708,1372.90065223351,"D"
"cell220...220",679.958406835794,246.570684481412,"D"
"cell221...221",524.948220234364,396.587716881186,"A"
"cell222...222",330.907866358757,995.12797081843,"D"
"cell223...223",644.33611324057,1469.3232672289,"A"
"cell224...224",1020.25041310117,201.565989758819,"D"
"cell225...225",1847.93694270775,1368.30209754407,"D"
"cell226...226",1021.91939670593,1844.57247471437,"D"
"cell227...227",515.242521651089,1854.39837118611,"D"
"cell228...228",92.9217739030719,1639.82567330822,"D"
"cell229...229",835.71251668036,6.13172957673669,"D"
"cell230...230",1708.00300454721,706.42605330795,"A"
"cell231...231",694.461355451494,1556.25993944705,"A"
"cell232...232",262.884641066194,1026.13852499053,"D"
"cell233...233",748.973729088902,18.3265418745577,"D"
"cell234...234",1262.84045679495,1622.9336229153,"A"
"cell235...235",780.15786735341,203.38656893,"D"
"cell236...236",1379.25569759682,1746.63062719628,"A"
"cell237...237",1378.82682494819,668.378569185734,"A"
"cell238...238",1109.80124631897,1000.08459202945,"D"
"cell239...239",859.248815570027,661.104941274971,"D"
"cell240...240",905.440125614405,992.88032297045,"D"
"cell241...241",612.886517774314,643.725944217294,"A"
"cell242...242",1156.70788800344,753.316602669656,"D"
"cell243...243",1820.74060849845,258.218573406339,"D"
"cell244...244",285.208164248616,261.976855807006,"D"
"cell245...245",830.095250625163,186.280148569494,"D"
"cell246...246",421.851501334459,892.360259778798,"D"
"cell247...247",857.500741723925,1118.41898085549,"D"
"cell248...248",265.379950404167,530.127414502203,"A"
"cell249...249",920.192891731858,108.722439967096,"D"
"cell250...250",1885.91411849484,1356.62457067519,"D"
"cell251...251",1523.94772320986,1335.89850505814,"A"
"cell252...252",1865.8196576871,1205.69318393245,"D"
"cell253...253",941.356995142996,818.197488319129,"D"
"cell254...254",1207.17613538727,300.646822433919,"D"
"cell255...255",969.979361165315,1417.06281155348,"D"
"cell256...256",217.61263301596,1192.07848748192,"D"
"cell257...257",495.453665964305,1005.40129095316,"D"
"cell258...258",997.029061429203,1188.32450872287,"D"
"cell259...259",745.733416173607,79.9684207886457,"D"
"cell260...260",1869.38274046406,691.51086686179,"D"
"cell261...261",1047.9721557349,655.954168643802,"D"
"cell262...262",634.289343375713,875.947582069784,"D"
"cell263...263",555.932058952749,1397.91448973119,"A"
"cell264...264",1575.08101547137,1430.39346626028,"A"
"cell265...265",1404.92502506822,1322.36442295834,"A"
"cell266...266",330.055277328938,1714.45031836629,"A"
"cell267...267",128.915077541023,1686.6076788865,"D"
"cell268...268",1509.41124325618,669.734493363649,"A"
"cell269...269",1240.82006607205,1510.24630106986,"A"
"cell270...270",339.153533335775,1865.13789277524,"D"
"cell271...271",124.428104609251,342.974153812975,"D"
"cell272...272",218.05853722617,500.266002491117,"A"
"cell273...273",763.432703446597,641.884100157768,"A"
"cell274...274",338.621829170734,92.8913876414299,"D"
"cell275...275",597.305084113032,1790.46932607889,"D"
"cell276...276",384.419070091099,321.095585357398,"A"
"cell277...277",514.340042602271,1261.43755810335,"A"
"cell278...278",362.463645637035,135.588979814202,"D"
"cell279...279",954.627419356257,1160.62097810209,"D"
"cell280...280",1541.47408576682,1861.88245657831,"D"
"cell281...281",55.5742448195815,1844.46228807792,"D"
"cell282...282",1054.62155397981,1793.32535108551,"D"
"cell283...283",1760.63813781366,1375.54339179769,"A"
"cell284...284",746.126743964851,1859.50313229114,"D"
"cell285...285",95.9182633087039,525.069221388549,"D"
"cell286...286",277.256493456662,660.426895599812,"A"
"cell287...287",642.984240781516,1866.14371463656,"D"
"cell288...288",309.663222637028,404.579632915556,"A"
"cell289...289",264.456344302744,1982.90492407978,"D"
"cell290...290",442.611855454743,518.080656416714,"C"
"cell291...291",452.76159234345,1011.87161542475,"D"
"cell292...292",262.83306768164,1777.38739224151,"D"
"cell293...293",1963.12692062929,1750.05840882659,"D"
"cell294...294",654.027453623712,1459.0434669517,"A"
"cell295...295",1013.87899415568,379.115047398955,"D"
"cell296...296",1362.88502952084,175.240099430084,"D"
"cell297...297",198.338206391782,140.321981161833,"D"
"cell298...298",237.805116456002,1038.70442416519,"D"
"cell299...299",100.879319012165,840.777517762035,"D"
"cell300...300",1858.50783949718,144.140995107591,"D"
"cell301...301",1347.42446569726,133.428298402578,"D"
"cell302...302",189.715710934252,1410.2299339138,"D"
"cell303...303",985.192241612822,1951.54183870181,"D"
"cell304...304",923.103681299835,746.449788566679,"D"
"cell305...305",750.433061737567,1446.70360768214,"A"
"cell306...306",1982.19843907282,1441.10103556886,"D"
"cell307...307",352.701427415013,369.294355623424,"A"
"cell308...308",1626.87041703612,1184.44720422849,"D"
"cell309...309",136.893274262547,1961.36807464063,"D"
"cell310...310",800.899493508041,840.740275103599,"D"
"cell311...311",282.288651447743,680.704623926431,"A"
"cell312...312",386.619724798948,620.035397354513,"A"
"cell313...313",1682.70343355834,1039.951863233,"D"
"cell314...314",1439.82797674835,878.650286700577,"D"
"cell315...315",534.424166195095,881.398245692253,"D"
"cell316...316",990.003289654851,102.251558564603,"D"
"cell317...317",166.22779564932,1026.41714271158,"D"
"cell318...318",707.768481224775,1975.50983028486,"D"
"cell319...319",1938.41761071235,1369.11130044609,"D"
"cell320...320",1249.42837934941,1795.65817117691,"D"
"cell321...321",1329.23649949953,271.911725401878,"A"
"cell322...322",624.979312997311,198.850459884852,"D"
"cell323...323",811.37922545895,1260.97604958341,"D"
"cell324...324",1992.15474305674,1381.29034033045,"D"
"cell325...325",1710.16471274197,203.006397467107,"D"
"cell326...326",1907.09679201245,1012.65995483845,"D"
"cell327...327",1624.61018469185,615.748412907124,"A"
"cell328...328",1564.36423165724,113.537026569247,"D"
"cell329...329",535.756257828325,947.683318983763,"D"
"cell330...330",1524.30305909365,741.102134808898,"A"
"cell331...331",1972.62317826971,97.5490459240973,"D"
"cell332...332",587.211098056287,498.948925174773,"C"
"cell333...333",798.702213913202,993.502223398536,"D"
"cell334...334",1624.26304770634,1506.41335267574,"A"
"cell335...335",154.303338378668,1642.73703983054,"D"
"cell336...336",727.393619716167,130.134874023497,"D"
"cell337...337",885.184934362769,1298.44804154709,"D"
"cell338...338",313.428265042603,1523.0197077617,"A"
"cell339...339",1164.41054036841,465.030449908227,"D"
"cell340...340",1940.32435771078,1179.10080216825,"D"
"cell341...341",1978.99966686964,1518.15069047734,"D"
"cell342...342",352.904072962701,690.889068413526,"A"
"cell343...343",1084.26084881648,675.492112524807,"D"
"cell344...344",768.607784062624,968.817708548158,"D"
"cell345...345",1352.3281016387,1857.74078732356,"D"
"cell346...346",538.58755948022,29.9858427606523,"D"
"cell347...347",938.501884695143,1064.09382633865,"D"
"cell348...348",343.600164633244,85.8416617847979,"D"
"cell349...349",738.378924783319,879.32464433834,"D"
"cell350...350",1450.81054512411,693.057279568166,"A"
"cell351...351",972.298208624125,1690.09462976828,"D"
"cell352...352",127.604933455586,393.962275236845,"D"
"cell353...353",1569.09245997667,1257.11838109419,"A"
"cell354...354",836.643271613866,571.121808607131,"D"
"cell355...355",1962.03616959974,563.957584090531,"D"
"cell356...356",565.767911728472,844.389934558421,"D"
"cell357...357",1695.76429901645,1809.57060912624,"D"
"cell358...358",164.478461723775,870.231503155082,"D"
"cell359...359",1772.91750116274,255.626457277685,"D"
"cell360...360",943.861461710185,1463.46838446334,"D"
"cell361...361",218.201926909387,378.499760758132,"D"
"cell362...362",666.555969044566,1017.62283407152,"D"
"cell363...363",1674.83313847333,627.262839581817,"A"
"cell364...364",553.699683398008,1456.91645611078,"B"
"cell365...365",1174.07028283924,1179.91278925911,"D"
"cell366...366",1673.46453946084,1444.55415243283,"A"
"cell367...367",142.30804797262,947.010518983006,"D"
"cell368...368",1405.55748669431,1552.85208392888,"A"
"cell369...369",1397.64907443896,1274.87191651016,"A"
"cell370...370",927.9247620143,1776.22491307557,"D"
"cell371...371",873.862220905721,1507.44626345113,"D"
"cell372...372",1124.35357552022,78.8307497277856,"D"
"cell373...373",1856.96645267308,765.226848423481,"D"
"cell374...374",460.932828485966,1166.20859736577,"D"
"cell375...375",443.627508822829,1963.28677562997,"D"
"cell376...376",840.431786607951,1211.68335713446,"D"
"cell377...377",667.041611392051,26.7840437591076,"D"
"cell378...378",1729.61510065943,35.5817708186805,"D"
"cell379...379",354.389071464539,214.71852902323,"D"
"cell380...380",986.6374572739,350.412745028734,"D"
"cell381...381",859.426733572036,1554.90073561668,"D"
"cell382...382",1128.52768599987,503.87050351128,"D"
"cell383...383",1312.32463102788,1120.04123209044,"D"
"cell384...384",1957.10812555626,1009.67463897541,"D"
"cell385...385",464.322296902537,1191.42733514309,"D"
"cell386...386",481.623192317784,746.487522497773,"A"
"cell387...387",1593.67216797546,1363.48683852702,"A"
"cell388...388",1663.34343003109,1929.7582898289,"D"
"cell389...389",227.015412878245,618.47747117281,"A"
"cell390...390",1926.62403266877,524.811532348394,"D"
"cell391...391",294.645799323916,537.885489873588,"A"
"cell392...392",287.253885529935,82.0353147573769,"D"
"cell393...393",1850.45987041667,1016.53741020709,"D"
"cell394...394",1014.07120516524,983.351556584239,"D"
"cell395...395",309.702034108341,679.729905445129,"A"
"cell396...396",696.604104246944,1317.98456748948,"A"
"cell397...397",1319.64205158874,1319.75475465879,"A"
"cell398...398",623.544748872519,509.992238599807,"A"
"cell399...399",703.146818559617,180.811422877014,"D"
"cell400...400",295.691413804889,1638.3090368472,"A"
"cell401...401",1317.7552181296,138.917483389378,"D"
"cell402...402",370.139929000288,835.81847185269,"D"
"cell403...403",1908.75627379864,1696.21315831318,"D"
"cell404...404",1795.69698404521,1751.88742531464,"D"
"cell405...405",1887.39410880953,26.3474914245307,"D"
"cell406...406",1447.38150248304,1798.72779315338,"D"
"cell407...407",740.714131854475,101.305417250842,"D"
"cell408...408",1562.03508051112,1645.82157088444,"A"
"cell409...409",22.2990172915161,1279.08743312582,"D"
"cell410...410",1880.61742438003,951.632807031274,"D"
"cell411...411",1987.49845242128,1020.96895966679,"D"
"cell412...412",714.811490382999,44.0731211565435,"D"
"cell413...413",1495.2701269649,882.590000983328,"D"
"cell414...414",1585.81804763526,1851.35459061712,"D"
"cell415...415",1411.71801276505,1580.97376348451,"A"
"cell416...416",951.650077477098,324.556306935847,"D"
"cell417...417",989.30905200541,565.877130255103,"D"
"cell418...418",616.104897577316,1162.10615122691,"D"
"cell419...419",1390.02449251711,1439.70917118713,"A"
"cell420...420",1645.58661123738,644.701229874045,"A"
"cell421...421",869.43528149277,331.02553198114,"D"
"cell422...422",1029.46530561894,1917.53339022398,"D"
"cell423...423",1326.02193532512,1933.78469767049,"D"
"cell424...424",286.333173047751,150.729327928275,"D"
"cell425...425",688.974787481129,1770.19547810778,"D"
"cell426...426",811.527164652944,1720.02817690372,"D"
"cell427...427",170.622011646628,1714.56103911623,"D"
"cell428...428",1865.14385649934,1506.23505702242,"D"
"cell429...429",1676.76813341677,1474.61086371914,"A"
"cell430...430",1758.86659231037,540.921304374933,"A"
"cell431...431",1871.42493529245,1801.86636326835,"D"
"cell432...432",144.921266939491,1703.06938700378,"D"
"cell433...433",757.518881000578,1465.89404949918,"A"
"cell434...434",1075.72984555736,620.287589263171,"D"
"cell435...435",210.100277327001,1494.061649777,"A"
"cell436...436",1603.37541112676,1653.56892766431,"A"
"cell437...437",1479.28349161521,8.71311919763684,"D"
"cell438...438",104.298026766628,1315.04129618406,"D"
"cell439...439",964.339146390557,547.776700463146,"D"
"cell440...440",1841.03568131104,260.562381241471,"D"
"cell441...441",83.0568578094244,1689.61858702824,"D"
"cell442...442",587.983598001301,1552.2074601613,"A"
"cell443...443",1001.7009745352,889.576705172658,"D"
"cell444...444",1219.49787018821,468.130060937256,"A"
"cell445...445",528.498099185526,1026.97236230597,"D"
"cell446...446",846.19721909985,318.509579170495,"D"
"cell447...447",733.127232640982,1394.02606617659,"A"
"cell448...448",1885.01064479351,417.424350045621,"D"
"cell449...449",247.447130270302,940.14895753935,"D"
"cell450...450",140.065358486027,1583.84630456567,"D"
"cell451...451",1928.63407591358,483.020016923547,"D"
"cell452...452",885.020216461271,1957.16089941561,"D"
"cell453...453",740.544760599732,271.081731654704,"D"
"cell454...454",340.48716025427,1990.36480812356,"D"
"cell455...455",108.380858786404,25.9630461223423,"D"
"cell456...456",1315.65613858402,999.405123759061,"D"
"cell457...457",1156.32383339107,853.503551799804,"D"
"cell458...458",1974.20352790505,83.5317396558821,"D"
"cell459...459",1207.58480299264,1384.08477650955,"D"
"cell460...460",129.899837542325,1431.80017452687,"D"
"cell461...461",324.218163732439,557.072748895735,"A"
"cell462...462",950.795840937644,1996.52744596824,"D"
"cell463...463",3.86566948145628,1421.88819823787,"D"
"cell464...464",882.918286137283,1832.58617762476,"D"
"cell465...465",521.859474480152,1566.80953782052,"B"
"cell466...466",1876.82749098167,1237.18426795676,"D"
"cell467...467",1431.66656745598,1311.1235727556,"A"
"cell468...468",326.170956715941,1173.39393403381,"D"
"cell469...469",952.376036904752,22.4933889694512,"D"
"cell470...470",1380.51344593987,1281.76500322297,"A"
"cell471...471",921.790359076113,835.859132930636,"D"
"cell472...472",1910.29347665608,1071.79300906137,"D"
"cell473...473",1425.08024489507,1207.86936301738,"D"
"cell474...474",794.295866508037,1405.59259569272,"D"
"cell475...475",235.441224183887,1087.52166526392,"D"
"cell476...476",480.232546105981,892.849263735116,"D"
"cell477...477",1727.26113302633,1476.29019990563,"A"
"cell478...478",871.952803339809,508.739247918129,"D"
"cell479...479",995.736103970557,853.653625585139,"D"
"cell480...480",1383.85534426197,449.218745809048,"A"
"cell481...481",1520.62656357884,1456.1463650316,"B"
"cell482...482",310.802445281297,630.419584456831,"A"
"cell483...483",1698.91418609768,445.656924974173,"A"
"cell484...484",1893.63563805819,497.331359423697,"D"
"cell485...485",1176.83838075027,1496.11734412611,"D"
"cell486...486",1004.50163055211,540.231903549284,"D"
"cell487...487",379.559835419059,977.220816537738,"D"
"cell488...488",3.67371644824743,1389.98032780364,"D"
"cell489...489",1755.15612447634,831.462398637086,"D"
"cell490...490",268.222675658762,1749.33652346954,"D"
"cell491...491",45.4824483022094,1989.68512192369,"D"
"cell492...492",1878.2734121196,476.285101380199,"D"
"cell493...493",585.897445678711,507.197135128081,"B"
"cell494...494",328.653148841113,479.050986934453,"A"
"cell495...495",798.205111641437,1977.5005383417,"D"
"cell496...496",919.150824192911,66.6251201182604,"D"
"cell497...497",868.061697110534,1384.61944693699,"D"
"cell498...498",1034.01965275407,763.93542252481,"D"
"cell499...499",1692.49150529504,1155.54335806519,"D"
"cell500...500",110.328572802246,737.61084349826,"D"
"cell501...501",1108.35412237793,1385.50675660372,"D"
"cell502...502",1376.55047513545,523.679038975388,"A"
"cell503...503",1316.1151073873,155.80267785117,"D"
"cell504...504",1326.68545050547,613.63344732672,"A"
"cell505...505",944.468405097723,1936.55557651073,"D"
"cell506...506",1939.05633222312,1980.20447418094,"D"
"cell507...507",804.394125472754,1972.27350901812,"D"
"cell508...508",1699.10420756787,1389.9179212749,"A"
"cell509...509",1513.28981481493,902.161575853825,"D"
"cell510...510",1065.2024387382,411.395789124072,"D"
"cell511...511",1748.29932162538,342.988530173898,"A"
"cell512...512",934.230231214315,892.621691338718,"D"
"cell513...513",16.2569107487798,256.719429045916,"D"
"cell514...514",1455.53400926292,1679.38818456605,"A"
"cell515...515",1433.17895755172,502.335273660719,"B"
"cell516...516",374.85274206847,428.291275165975,"A"
"cell517...517",1292.13455365971,497.726725414395,"A"
"cell518...518",1083.95855966955,139.919390436262,"D"
"cell519...519",670.641519594938,1258.19791387767,"A"
"cell520...520",1275.81744641066,1148.90416292474,"D"
"cell521...521",1658.40212767944,675.769331399351,"A"
"cell522...522",1417.95039689168,330.64492745325,"A"
"cell523...523",697.100701741874,0.241311732679605,"D"
"cell524...524",256.655749864876,1414.5226390101,"A"
"cell525...525",776.156977750361,303.13729820773,"D"
"cell526...526",1856.35509667918,1816.34433800355,"D"
"cell527...527",1608.781542629,671.748087741435,"A"
"cell528...528",1517.39361416548,1284.45048350841,"A"
"cell529...529",1914.49977783486,1644.43716686219,"D"
"cell530...530",1987.82775737345,459.541053976864,"D"
"cell531...531",1212.88198931143,490.749869961292,"A"
"cell532...532",58.7543309666216,808.496978599578,"D"
"cell533...533",672.890715766698,261.2085766159,"A"
"cell534...534",555.31617347151,428.881496656686,"B"
"cell535...535",234.395100269467,1802.54401033744,"D"
"cell536...536",86.4365180023015,1189.33826358989,"D"
