"","x","y","values","celltypes"
"cell1536",133.42057261616,41.1616840865463,-0.549446046027945,"B"
"cell1475",421.279689529911,5.39996149018407,1.49554920417261,"A"
"cell504",663.342725252733,423.058009007946,-0.248511650765064,"B"
"cell1481",12.3791699297726,930.875941179693,-1.08556564794938,"B"
"cell358",82.2392308618873,944.489105371758,-0.604602057053652,"B"
"cell785",862.51068697311,537.167157977819,-1.52869217993536,"B"
"cell1748",894.050102913752,30.8967877645046,-0.316964705278393,"B"
"cell127",511.169783771038,219.371878309175,0.15672210047604,"A"
"cell645",792.378755984828,476.709238486364,-0.65602507610831,"B"
"cell1065",531.563901342452,1.47809600457549,0.436095008585665,"A"
"cell987",544.234022730961,863.282800884917,-2.363423397053,"B"
"cell1572",574.655290460214,434.38574927859,-0.526313324641181,"B"
"cell305",375.216530868784,779.914357000962,-1.21902027342811,"B"
"cell413",747.635063482448,422.30969760567,-0.524379667664994,"B"
"cell981",137.730283895507,660.065344534814,-0.430995432709477,"B"
"cell1885",806.874484289438,317.276554880664,-0.941373601011908,"B"
"cell1874",786.444804864004,324.715558206663,-0.10095894947761,"B"
"cell309",68.4466371312737,405.973301967606,-1.26515628983551,"B"
"cell1763",737.188908504322,262.172886403278,-0.811440911961106,"B"
"cell1971",551.487519871444,753.689459292218,-0.386262428086568,"B"
"cell1002",684.860904002562,479.49518612586,-0.533270403418202,"B"
"cell441",41.5284289047122,302.508435444906,-1.26251908080187,"B"
"cell856",36.1960020381957,508.741041412577,-0.480366086814829,"B"
"cell1141",160.064304247499,537.293540546671,0.281659413400735,"A"
"cell1752",596.988384379074,427.234515780583,-0.525134033636405,"B"
"cell470",690.256722969934,482.361179543659,-1.08426733996327,"B"
"cell1638",89.1961276065558,444.759102305397,-1.02243438880423,"B"
"cell562",132.827813038602,435.303197940812,-0.514510439742026,"B"
"cell1360",922.065404010937,557.243729010224,-1.11340220809182,"B"
"cell349",369.18946239166,838.446156820282,-1.23996319701297,"B"
"cell1096",771.674948045984,542.465554783121,-0.418805182748837,"B"
"cell894",13.1097168195993,405.014413874596,-0.699110513387834,"B"
"cell590",708.740051137283,250.53632655181,0.184167566754685,"A"
"cell474",397.147933254018,50.6137637421489,0.920462478518411,"A"
"cell168",335.487491684034,366.89807055518,-1.13077517592487,"B"
"cell1981",314.671236323193,692.418950377032,0.464251943468832,"A"
"cell1781",587.987260660157,121.535250218585,0.744538246081025,"A"
"cell840",505.531079834327,693.946446059272,-0.320648977790172,"B"
"cell952",177.906081313267,642.902703024447,-0.495661768022873,"B"
"cell455",54.1904293932021,478.79485716112,-0.925467048127481,"B"
"cell1774",231.604878557846,198.190840892494,1.34220085045837,"A"
"cell356",282.883955864236,177.284543635324,1.9083285793619,"A"
"cell1649",572.860622312874,958.429436432198,-1.65212212337634,"B"
"cell1258",506.208677310497,590.4885600321,-0.0851251043648306,"B"
"cell1508",695.790997939184,468.478092225268,-1.00531511261221,"B"
"cell1950",227.300448110327,775.234733475372,-0.196725619965369,"B"
"cell73",346.68348915875,408.088765805587,-0.628950503832565,"B"
"cell1563",874.713584315032,62.3896184843034,-0.558425596126879,"B"
"cell1577",750.398378120735,556.677608285099,-0.927909762332291,"B"
"cell15",769.841419998556,27.9159292113036,-2.07570657161458,"B"
"cell1465",144.025167217478,110.141913872212,1.72601816523837,"A"
"cell1318",163.245677249506,763.275923440233,-0.655343298878593,"B"
"cell62",293.603372760117,562.665292294696,0.23542387784255,"A"
"cell390",963.312016334385,355.017149820924,-1.41701792526484,"B"
"cell1668",540.84939789027,734.411330427974,0.156447650402461,"A"
"cell1059",556.952693499625,972.969073802233,-1.56926754545094,"B"
"cell381",429.713366786018,871.084483806044,-0.321406120062459,"B"
"cell77",864.339470630512,951.139469398186,-0.80344590877191,"B"
"cell1977",782.721356954426,736.711106961593,-1.50940752411735,"B"
"cell1351",75.8749665692449,563.256986206397,0.0340801563726596,"A"
"cell665",356.641406659037,406.101839616895,-0.490611137076241,"B"
"cell31",482.080115471035,430.717830779031,-0.569757406408857,"B"
"cell549",561.988092726097,979.760026792064,-1.84558735556041,"B"
"cell743",609.460863517597,388.700943207368,-1.22197169885121,"B"
"cell1052",534.861729713157,405.422623036429,-0.68656633492118,"B"
"cell1717",345.313458470628,285.013138549402,0.205336741821487,"A"
"cell1172",762.604692019522,11.0687566921115,-1.17193261107932,"B"
"cell797",237.26485366933,539.789478061721,0.207892914520509,"A"
"cell1151",838.122266577557,298.281367635354,-1.00570046247844,"B"
"cell1940",480.426545254886,490.252809599042,0.236559506686626,"A"
"cell1596",110.791063401848,130.190584808588,0.774478586030893,"A"
"cell961",360.434043221176,277.924564434215,-0.090481144952376,"B"
"cell1308",515.823876019567,730.675936909392,-0.780712797395268,"B"
"cell334",812.131523853168,29.5114114414901,-2.85178376049221,"B"
"cell1957",978.671659715474,711.97082917206,-2.19036186391421,"B"
"cell1292",899.025898426771,857.306067366153,-1.6870273135201,"B"
"cell93",642.288258532062,770.98110713996,-1.17124915620798,"B"
"cell1741",961.843609344214,333.205586997792,-2.05258154448209,"B"
"cell1324",333.949361927807,937.721627065912,-1.87754648566009,"B"
"cell714",783.097670879215,582.967506255955,0.686126986808965,"A"
"cell610",106.648319633678,148.946444038302,0.548815524920911,"A"
"cell1306",760.070322314277,979.999884497374,-1.24674506505148,"B"
"cell1265",232.330028899014,979.802730260417,-0.82126426810851,"B"
"cell33",493.541307048872,277.116678655148,-0.175611111858861,"B"
"cell1020",265.910907648504,932.681515347213,-0.0724759883047676,"B"
"cell1715",170.097689377144,278.576380573213,-0.409932295733132,"B"
"cell437",739.641745807603,781.176410615444,-0.162385676919424,"B"
"cell1746",80.5694879963994,904.485720908269,-1.32325928688218,"B"
"cell1887",592.963553965092,663.508058292791,-0.974067339367731,"B"
"cell217",649.579460499808,480.641926405951,0.257737733183932,"A"
"cell792",57.9320678953081,971.569425193593,-1.67501166476461,"B"
"cell805",273.255241801962,388.762210728601,-0.108461645930827,"B"
"cell108",478.118034312502,294.7561906185,-0.443422031548064,"B"
"cell1772",380.877255229279,548.451942158863,0.441488177042375,"A"
"cell1294",481.013050070032,300.191494869068,-0.11685534491274,"B"
"cell1972",930.684473598376,12.1625945903361,-0.460136233657401,"B"
"cell209",256.367604015395,572.829977376387,0.626564938755115,"A"
"cell1007",504.505032906309,173.349933931604,2.32191618713548,"A"
"cell1362",907.198753440753,764.113968936726,-0.835943440741209,"B"
"cell1633",787.214820971712,545.18087557517,-0.152911763050726,"B"
"cell1608",306.958527071401,71.4133388828486,1.11126054667256,"A"
"cell1818",995.281064882874,5.10848499834538,-2.26929815316068,"B"
"cell568",644.107228610665,36.3396902102977,-1.31287761391571,"B"
"cell1979",750.623380066827,950.343935750425,-0.741083078113129,"B"
"cell1867",8.14770301803946,181.809379486367,-1.64125659283134,"B"
"cell1458",21.7862285207957,725.421863608062,-1.74733882109682,"B"
"cell768",727.181021124125,747.712324839085,-0.17612444504365,"B"
"cell201",267.508207354695,595.569584751502,0.203502760037151,"A"
"cell916",442.158423364162,990.910422988236,-1.05904951752397,"B"
"cell1378",839.199031703174,582.892629085109,-0.860056028615864,"B"
"cell1381",823.962600668892,111.477636964992,-0.812763265141088,"B"
"cell1373",255.854324204847,17.285815672949,0.277383700863606,"A"
"cell1796",490.209404379129,329.534132033587,-0.38553386138087,"B"
"cell1538",600.408032536507,896.790414117277,-3.02628307910549,"B"
"cell116",13.0775754805654,181.170874042436,-1.09275892268767,"B"
"cell643",932.808704674244,768.745967419818,-1.69615759161106,"B"
"cell879",740.976688219234,942.408323055133,-0.785044193578243,"B"
"cell1960",77.8222696390003,784.835475031286,-0.98181373632929,"B"
"cell1022",819.601821480319,107.039442518726,-0.778636643149449,"B"
"cell1257",374.56521904096,22.6960622239858,1.70655751339552,"A"
"cell1295",32.1287591941655,161.221431568265,-0.921786823529975,"B"
"cell1463",825.439068023115,321.962855290622,-1.00482446924449,"B"
"cell1221",565.281208371744,776.32555551827,-1.12250654402921,"B"
"cell1244",297.975734807551,61.1279506701976,0.451496529774488,"A"
"cell462",475.397920468822,297.953611938283,0.124584506021282,"A"
"cell1992",166.043678531423,364.361931569874,-0.211879907198532,"B"
"cell235",390.078933676705,320.704787038267,-0.150948825325131,"B"
"cell513",8.12845537438989,728.22568169795,-0.70691024749636,"B"
"cell1498",881.73885201104,231.114051071927,-2.43279131497901,"B"
"cell173",856.131664710119,896.527295233682,-1.04690533233359,"B"
"cell1107",346.423432230949,623.47650132142,0.366444157591199,"A"
"cell1641",430.910924449563,582.350987708196,0.254889620038107,"A"
"cell407",370.357065927237,17.5970334094018,0.958640012163613,"A"
"cell324",996.077371528372,589.044747874141,0.272742618408848,"A"
"cell731",729.803287889808,256.030270131305,-1.8254910352623,"B"
"cell185",877.057543024421,367.797967977822,-1.32012353537546,"B"
"cell895",335.745624266565,2.5872802361846,1.06574675778793,"A"
"cell765",177.949683042243,239.18923176825,-0.130936556326752,"B"
"cell1204",673.209949862212,933.232999639586,-0.588881587980493,"B"
"cell464",441.459143068641,429.740472929552,-0.143537429205831,"B"
"cell493",292.948722839355,916.430335957557,-0.757003555410074,"B"
"cell675",501.754825003445,776.42580284737,-1.50138246941749,"B"
"cell966",239.637228194624,860.549127915874,0.268868486207738,"A"
"cell444",609.748935094103,419.576285406947,-0.0721731464225417,"B"
"cell1191",778.839041478932,146.773063344881,-1.85525715512253,"B"
"cell49",732.3137386702,615.930010797456,-0.887140622837445,"B"
"cell1495",208.459950983524,888.05390545167,-0.974115817317393,"B"
"cell291",226.380796171725,312.703200615942,-1.67063244741531,"B"
"cell653",361.894184956327,869.576696539298,-1.32172553682446,"B"
"cell1827",560.67725061439,71.9839727971703,0.510246372868536,"A"
"cell434",537.864922778681,296.659813495353,0.239169394119305,"A"
"cell741",348.740808898583,599.506254540756,0.464798772580477,"A"
"cell1857",824.826563941315,223.625832237303,-0.772669548895429,"B"
"cell1854",857.4108495377,883.386893197894,-0.543362348901092,"B"
"cell1616",882.632006658241,599.870102247223,-0.705494665385058,"B"
"cell880",990.660011768341,124.178858473897,0.640602186653925,"A"
"cell936",751.545873004943,441.127017373219,0.139777350637239,"A"
"cell674",527.09619468078,555.707331513986,0.229961582432032,"A"
"cell836",576.804658863693,556.885670172051,0.498769232467581,"A"
"cell56",99.4661601725966,594.759070547298,0.223485031649773,"A"
"cell1049",480.965640163049,212.941627483815,0.988847090988091,"A"
"cell934",271.881833905354,400.646861409768,-0.209151622503326,"B"
"cell1105",131.96655572392,902.385278139263,-1.12618409149896,"B"
"cell1496",672.860826831311,567.778263706714,0.234806166097895,"A"
"cell1894",121.8470511958,243.369071977213,0.808276511478887,"A"
"cell494",164.326574420556,30.5550002958626,-0.907046469008978,"B"
"cell1605",840.200393926352,441.674972185865,-0.143870581380083,"B"
"cell1061",116.568592377007,548.572195228189,0.101121548178413,"A"
"cell1504",534.58975860849,540.15195555985,0.374047011602744,"A"
"cell104",992.68406117335,79.9245799425989,-0.855403811690908,"B"
"cell1027",518.938087392598,581.009721849114,0.0351184459539885,"A"
"cell1203",933.506249915808,505.074343876913,-0.160880524704287,"B"
"cell659",751.504168147221,196.549722459167,-0.941852470272477,"B"
"cell161",284.790480975062,779.968342510983,-1.13354015020088,"B"
"cell384",978.55406277813,690.481673926115,-1.27167367647284,"B"
"cell436",801.687705563381,905.349676962942,-0.224708520947996,"B"
"cell1762",493.208973202854,974.585211602971,-1.91581390920925,"B"
"cell260",934.691370232031,908.89258380048,-0.820449961873371,"B"
"cell717",27.4978789966553,590.647940291092,-0.307771830442033,"B"
"cell60",406.830187188461,269.182726275176,-0.0277049296187905,"B"
"cell448",942.505322396755,871.663532685488,-1.75467216328317,"B"
"cell488",1.83685822412372,580.373792676255,-0.0907514141880022,"B"
"cell181",293.730155099183,962.586591951549,-0.654010794294603,"B"
"cell1534",70.7425756845623,704.851950518787,-1.42674543245355,"B"
"cell1157",24.8606903478503,400.093509349972,-0.831689799975273,"B"
"cell1452",234.714680118486,880.997015628964,-0.903995716827527,"B"
"cell1571",90.8958460204303,680.054666940123,-0.445405782540862,"B"
"cell1401",239.606710383669,947.512933518738,0.487865287915944,"A"
"cell1303",205.114235170186,311.910333810374,-0.414519780877001,"B"
"cell1622",554.493116214871,922.835612669587,-1.20374916397844,"B"
"cell676",419.973319862038,259.379373397678,-0.912058976239601,"B"
"cell1946",36.7327940184623,140.372309833765,0.123094789416575,"A"
"cell611",934.760116506368,589.121523778886,0.381088782662652,"A"
"cell148",746.698269620538,100.577907869592,-2.23710989983396,"B"
"cell150",864.544949028641,580.974439391866,-0.86280044168205,"B"
"cell121",991.838620044291,10.1301828399301,-2.0798218809013,"B"
"cell169",723.725946620107,509.391026105732,-0.285939426332465,"B"
"cell598",495.064105605707,280.259827850387,0.0743043908981222,"A"
"cell1491",89.1845354344696,489.07258710824,-0.848097873138307,"B"
